name,calories,protein,carbs,fat,is_breakfast,is_lunch,is_dinner,has_allergen,violates_dietary_restriction
Brown Rice (1 cup),216,5,45,1.8,FALSE,TRUE,TRUE,gluten,
White Rice (1 cup),199,4.2,45,0.4,FALSE,TRUE,TRUE,gluten,
Scrambled Eggs (2 large eggs),182,14,2,14,TRUE,FALSE,FALSE,egg,vegetarian vegan
Caesar Salad (3 oz),275,12,7,22,FALSE,TRUE,TRUE,egg@fish@milk@soy@wheat@gluten,vegan
Breakfast Burrito,340,17,37,13,TRUE,FALSE,FALSE,egg@milk@soy@wheat@trace allergens,vegetarian vegan
Goat Cheese Salad,383,6,39,24,FALSE,TRUE,TRUE,milk@peanuts@tree nuts@wheat@nuts,vegan
Enchilada Casserole,418,28,36,17,FALSE,TRUE,TRUE,milk@soy,vegan
Tater Tots (10 pieces),160,2,20,8,TRUE,FALSE,FALSE,soy@gluten,
Lemon Lentil Soup (1 cup),260,16,40,6,FALSE,TRUE,FALSE,wheat,
Kung Pao Chicken (6.2 oz),290,16,14,19,FALSE,TRUE,TRUE,sesame@soy@wheat,vegetarian
Macaroni and Cheese (1 cup),310,13,44,9,FALSE,TRUE,TRUE,milk@soy@wheat,vegan
"Hamburger (single patty, plain)",266,13.3,30.3,10.1,FALSE,TRUE,TRUE,gluten@wheat@soy,vegetarian vegan
Tofu (0.5 cup),124,10,2.3,6,FALSE,TRUE,TRUE,soy,
Salmon (.25 pound) with Sweet Potatoes (3),319,26,39,6,FALSE,TRUE,TRUE,fish,
Grilled Chicken Breast (4oz),187,25,0,4,FALSE,TRUE,TRUE,,vegetarian vegan
Boiled Egg on Wholegrain Toast,123,9,10,6,TRUE,FALSE,FALSE,egg,vegan
Chicken Tikka Masala (1 cup),353,33,9.4,22,FALSE,TRUE,TRUE,milk,vegetarian vegan
Oatmeal (1 cup),158,6,27,3.2,TRUE,FALSE,FALSE,,
Braised Beef Brisket (3 oz),281,22,0,21,FALSE,TRUE,TRUE,,vegetarian vegan
California Roll (6-8 pieces),255,9,38,7,FALSE,TRUE,TRUE,fish@shellfish,vegetarian vegan
"Cheerios (1 cup, no milk)",100,3,20,2,TRUE,FALSE,FALSE,,
Roasted Carrots (1 cup),110,1,12,7,FALSE,TRUE,TRUE,,
Spaghetti w/ Marinara Sauce (1 cup),185,5.95,28.18,4.88,FALSE,TRUE,TRUE,egg@soy@wheat,
Tomato Basil Soup (1 cup),150,2,14,10,FALSE,TRUE,TRUE, ,
French Toast (2 slices),298,10,32,14,TRUE,FALSE,FALSE,egg@milk@peanuts@soy@wheat,vegan
Banana Pecan Pancakes (3 ct),570,28,83,16,TRUE,FALSE,FALSE,wheat@milk@tree nuts@eggs,vegan
Beef Fajitas (4 oz),184,18,1,12,FALSE,TRUE,TRUE,,vegetarian vegan
"Banana (1, medium)",105,1.3,27,0.4,TRUE,TRUE,FALSE,,
Bourbon Chicken Skillet (22 oz),870,65,67,39,FALSE,TRUE,TRUE,milk,
"Apple (1, medium)",95,0.5,25,0.3,TRUE,TRUE,FALSE,,
Avocado (1 cup),234,2.9,12,21,TRUE,TRUE,FALSE,,
Cobb Salad (4 oz),510,40,28,28,FALSE,TRUE,TRUE,milk@wheat@egg,
Roasted Brussels Sprouts (1 cup),135,3.9,11,9.8,FALSE,TRUE,TRUE,,
Carrot-Ginger-Turmeric Soup (1 cup),103,2,18,3,TRUE,TRUE,TRUE,,
Black Beans (1 cup),227,15.2,40.8,0.9,FALSE,TRUE,TRUE,,
Veggie Samosa (3),240,6,33,9,FALSE,TRUE,TRUE,sesame@soy@wheat,
Cuban Roast Pork (5 oz),210,36,0,11,FALSE,TRUE,TRUE,,vegetarian vegan
Fried Plantains (1 cup),365,14,58,1.6,FALSE,TRUE,TRUE,,
Grilled Artichokes (4 pieces),50,0,3,4,FALSE,TRUE,TRUE,,
Mashed Potatoes (1 cup),214,4,35,7,FALSE,TRUE,TRUE,milk,vegan
Chicken & Apple Sausage (1 large link),150,11,3,8,TRUE,FALSE,FALSE,milk@soy@wheat,vegetarian vegan
Baked Chicken Pesto (4 oz),287,30.3,4.3,16,FALSE,TRUE,TRUE,milk@tree nuts,vegetarian vegan
Plain Bagel (large) with Cream Cheese,436,14,66,8,TRUE,FALSE,FALSE,milk@wheat,vegan
"Hot Dog (1, no bun)",151,5,2.2,13,FALSE,TRUE,TRUE,,vegetarian vegan
Fresh White Sea Bass (4 oz),114,21,2,2,FALSE,TRUE,TRUE,soy@milk@wheat,
Tuna Salad (1 cup),93,5,4,3,FALSE,TRUE,TRUE,fish@egg@tree nuts,